entry_key,work_key,source_campaign,review_flag,target_campaign,title
doi:10.3390/rs14133225	(no campaign tag),doi:10.3390/rs14133225,(no campaign tag),r,,Data Reliability Enhancement for Wind-Turbine-Mounted Lidars
doi:10.2139/ssrn.4197971	(no campaign tag),doi:10.2139/ssrn.4197971,(no campaign tag),r,,Dc Protection Coordination for Multi-Terminal Hb-Mmc-Based Hvdc Grids
doi:10.5194/acp-2022-543	(no campaign tag),doi:10.5194/acp-2022-543,(no campaign tag),r,,Dependency of vertical velocity variance on meteorological conditions in the convective boundary layer
doi:10.1029/2022jd037021	(no campaign tag),doi:10.1029/2022jd037021,(no campaign tag),r,,Distinct Dynamical and Structural Properties of Marine Stratocumulus and Shallow Cumulus Clouds in the Eastern North Atlantic
doi:10.1007/s10546-022-00770-1	LAPSE-RATE,doi:10.1007/s10546-022-00770-1,LAPSE-RATE,r,,Entrainment Rates and Their Synoptic Dependence on Wind Speed Aloft in California's Central Valley
doi:10.5194/amt-15-4107-2022	(no campaign tag),doi:10.5194/amt-15-4107-2022,(no campaign tag),r,,Evaluation of Aeolus L2B wind product with wind profiling radar measurements and numerical weather prediction model equivalents over Australia
doi:10.5194/gmd-15-5195-2022	(no campaign tag),doi:10.5194/gmd-15-5195-2022,(no campaign tag),m,CHEESEHEAD,Evaluation of a forest parameterization to improve boundary layer flow simulations over complex terrain. A case study using WRF-LES V4.0.1
doi:10.1186/s40645-022-00511-5	(no campaign tag),doi:10.1186/s40645-022-00511-5,(no campaign tag),r,,Evaluation of cloud and precipitation processes in regional and global models with ULTIMATE (ULTra-sIte for Measuring Atmosphere of Tokyo metropolitan Environment): a case study using the dual-polarization Doppler weather radars
doi:10.5194/amt-15-6011-2022	LAPSE-RATE,doi:10.5194/amt-15-6011-2022,LAPSE-RATE,m,(no campaign tag),Evaluation of the New York State Mesonet Profiler Network data
doi:10.3390/rs14153841	LAPSE-RATE,doi:10.3390/rs14153841,LAPSE-RATE,r,,Evolution and Structure of a Dry Microburst Line Observed by Multiple Remote Sensors in a Plateau Airport
doi:10.5194/wes-7-185-2022	(no campaign tag),doi:10.5194/wes-7-185-2022,(no campaign tag),r,,Field measurements of wake meandering at a utility-scale wind turbine with nacelle-mounted Doppler lidars
doi:10.3389/feart.2021.814785	(no campaign tag),doi:10.3389/feart.2021.814785,(no campaign tag),r,,Fine-Scale Structures in the Mid-Level Eyewall of Super Typhoon Rammasun (2014) Simulated With the WRF-LES Framework
doi:10.5194/hess-2022-131	LAPSE-RATE,doi:10.5194/hess-2022-131,LAPSE-RATE,r,,First implementation of a new cross-disciplinary observation strategy for heavy precipitation events from formation to flooding
doi:10.11591/ijece.v12i3.pp2300-2312	(no campaign tag),doi:10.11591/ijece.v12i3.pp2300-2312,(no campaign tag),r,,Geological aspect analysis for micro hydro power plant site selection based on remote sensing data
doi:10.1109/jlt.2022.3202836	(no campaign tag),doi:10.1109/jlt.2022.3202836,(no campaign tag),r,,High Resolution Coherent Doppler Wind Lidar Incorporating Phase-Shift Keying
doi:10.3390/atmos13091341	(no campaign tag),doi:10.3390/atmos13091341,(no campaign tag),m,(no campaign tag),"Impact of Lidar Data Assimilation on Simulating Afternoon Thunderstorms near Pingtung Airport, Taiwan: A Case Study"
doi:10.1175/mwr-d-21-0199.1	PECAN,doi:10.1175/mwr-d-21-0199.1,PECAN,m,(no campaign tag),Impacts of Assimilating Future Clear-Air Radial Velocity Observations from Phased Array Radar on Convection Initiation Forecasts: An Observing System Simulation Experiment Study
doi:10.1038/s41598-022-22868-9	(no campaign tag),doi:10.1038/s41598-022-22868-9,(no campaign tag),r,,Impacts of accelerating deployment of offshore windfarms on near-surface climate
doi:10.5194/amt-15-131-2022	(no campaign tag),doi:10.5194/amt-15-131-2022,(no campaign tag),r,,Inter-comparison of wind measurements in the atmospheric boundary layer and the lower troposphere with Aeolus and a ground-based coherent Doppler lidar network over China
doi:10.1007/s10546-021-00681-7	(no campaign tag),doi:10.1007/s10546-021-00681-7,(no campaign tag),r,,Interactions Between the Nocturnal Low-Level Jets and the Urban Boundary Layer: A Case Study over London
doi:10.3389/fphy.2022.1016047	(no campaign tag),doi:10.3389/fphy.2022.1016047,(no campaign tag),r,,Investigation of the confined-doped fiber on single-mode operating and power scaling in all-fiber single-frequency amplifiers
doi:10.1007/s10546-022-00707-8	(no campaign tag),doi:10.1007/s10546-022-00707-8,(no campaign tag),r,,"Large-Scale Turbulence Structures in the Atmospheric Boundary Layer Observed above the Suburbs of Kyoto City, Japan"
doi:10.5194/acp-2022-809	LAPSE-RATE,doi:10.5194/acp-2022-809,LAPSE-RATE,r,,Large-eddy simulation of a two-layer boundary-layer cloud system from the Arctic Ocean 2018 expedition
doi:10.1016/j.energy.2022.125051	(no campaign tag),doi:10.1016/j.energy.2022.125051,(no campaign tag),r,,LiDAR-based observation and derivation of large-scale wind turbine's wake expansion model downstream of a hill
doi:10.3390/rs14061333	LAPSE-RATE,doi:10.3390/rs14061333,LAPSE-RATE,r,,Lidar and Radar Signal Simulation: Stability Assessment of the Aerosol–Cloud Interaction Index
doi:10.5194/acp-22-12241-2022	(no campaign tag),doi:10.5194/acp-22-12241-2022,(no campaign tag),r,,Life cycle of stratocumulus clouds over 1 year at the coast of the Atacama Desert
doi:10.3390/rs14205150	(no campaign tag),doi:10.3390/rs14205150,(no campaign tag),r,,Local-Scale Horizontal CO2 Flux Estimation Incorporating Differential Absorption Lidar and Coherent Doppler Wind Lidar
doi:10.5194/amt-15-1185-2022	LAPSE-RATE,doi:10.5194/amt-15-1185-2022,LAPSE-RATE,m,(no campaign tag),Low-level buoyancy as a tool to understand boundary layer transitions
doi:10.5194/acp-2022-436	(no campaign tag),doi:10.5194/acp-2022-436,(no campaign tag),r,,"Measurement report: Atmopsheric new particle formation in a peri-urban site in Lille, Northern France"
doi:10.1029/2021jd035830	LAPSE-RATE,doi:10.1029/2021jd035830,LAPSE-RATE,r,,Measurements of a Dusty Density Current in the Western Sonoran Desert
doi:10.3389/frsen.2022.860284	(no campaign tag),doi:10.3389/frsen.2022.860284,(no campaign tag),r,,Mind the Gap - Part 3: Doppler Velocity Measurements From Space
doi:10.7274/zc77sn02x69	(no campaign tag),doi:10.7274/zc77sn02x69,(no campaign tag),r,,Multi-Scale Flow and Turbulence in Complex Terrain Under Weak Synoptic Conditions
doi:10.5194/essd-2022-73	LAPSE-RATE,doi:10.5194/essd-2022-73,LAPSE-RATE,r,,Observational data from uncrewed systems over Southern Great Plains
doi:10.1175/jas-d-20-0297.1	PECAN,doi:10.1175/jas-d-20-0297.1,PECAN,r,,Observations of the Development and Vertical Structure of the Lake-Breeze Circulation during the 2017 Lake Michigan Ozone Study
doi:10.1175/mwr-d-21-0265.1	(no campaign tag),doi:10.1175/mwr-d-21-0265.1,(no campaign tag),r,,Observations of the Discrete Propagation of a Mesoscale Convective System during RELAMPAGO–CACTI
doi:10.1029/2021jd036418	(no campaign tag),doi:10.1029/2021jd036418,(no campaign tag),r,,Orographic‐Induced Strong Wind Associated With a Low‐Pressure System Under Clear‐Air Condition During ICE‐POP 2018
doi:10.1175/jtech-d-22-0001.1	LAPSE-RATE,doi:10.1175/jtech-d-22-0001.1,LAPSE-RATE,r,,Performance Modeling of a Diode-Laser-Based Direct-Detection Doppler Lidar for Vertical Wind Profiling
doi:10.1175/waf-d-22-0016.1	(no campaign tag),doi:10.1175/waf-d-22-0016.1,(no campaign tag),m,VORTEX-SE,"Quantification of QLCS Tornadogenesis, Associated Characteristics, and Environments across a Large Sample"
doi:10.1029/2022jf006675	(no campaign tag),doi:10.1029/2022jf006675,(no campaign tag),r,,"Quantifying Mechanisms of Aeolian Dust Emission: Field Measurements at Etosha Pan, Namibia"
doi:10.1038/s41534-022-00662-9	(no campaign tag),doi:10.1038/s41534-022-00662-9,(no campaign tag),r,,Quantum-enhanced Doppler lidar
doi:10.1109/jproc.2022.3212229	(no campaign tag),doi:10.1109/jproc.2022.3212229,(no campaign tag),r,,Scaling Optical Fiber Capacities [Scanning the Issue]
doi:10.3389/fphy.2022.985440	(no campaign tag),doi:10.3389/fphy.2022.985440,(no campaign tag),r,,Simulating the Euler equations on multiple GPUs using Python
doi:10.1175/bams-d-21-0146.1	LAPSE-RATE,doi:10.1175/bams-d-21-0146.1,LAPSE-RATE,r,,Storms and Precipitation Across the continental Divide Experiment (SPADE)
doi:10.1139/as-2021-0048	LAPSE-RATE,doi:10.1139/as-2021-0048,LAPSE-RATE,r,,"Surface temperature inversion characteristics in dissimilar valleys, Yukon Canada"
doi:10.1515/noise-2022-0008	(no campaign tag),doi:10.1515/noise-2022-0008,(no campaign tag),r,,Synchronized acoustic and atmospheric measurement system for characterization of atmospheric sound propagation
doi:10.1175/bams-d-21-0044.1	(no campaign tag),doi:10.1175/bams-d-21-0044.1,(no campaign tag),r,,The COMBLE Campaign: A Study of Marine Boundary Layer Clouds in Arctic Cold-Air Outbreaks
doi:10.1175/wcas-d-21-0171.1	(no campaign tag),doi:10.1175/wcas-d-21-0171.1,(no campaign tag),r,,The Creation of a Research Television Studio to Test Probabilistic Hazard Information with Broadcast Meteorologists in NOAA’s Hazardous Weather Testbed
doi:10.5194/amt-2022-163	VORTEX-SE,doi:10.5194/amt-2022-163,VORTEX-SE,r,,"The measurement of mean wind, variances and covariances from an instrumented mobile car in a rural environment"
doi:10.5194/amt-15-6563-2022	VORTEX-SE,doi:10.5194/amt-15-6563-2022,VORTEX-SE,r,,"The measurement of mean wind, variances, and covariances from an instrumented mobile car in a rural environment"
doi:10.1175/ei-d-20-0027.1	LAPSE-RATE,doi:10.1175/ei-d-20-0027.1,LAPSE-RATE,r,,Turbulence Kinetic Energy Dissipation Rate Estimate for a Low-Level Jet with Doppler Lidar Data: A Case Study
doi:10.5194/wes-7-831-2022	(no campaign tag),doi:10.5194/wes-7-831-2022,(no campaign tag),r,,Turbulence statistics from three different nacelle lidars
doi:10.3389/feart.2022.840112	(no campaign tag),doi:10.3389/feart.2022.840112,(no campaign tag),r,,"Urban Atmospheric Boundary-Layer Structure in Complex Topography: An Empirical 3D Case Study for Stuttgart, Germany"
doi:10.5194/egusphere-2022-822	(no campaign tag),doi:10.5194/egusphere-2022-822,(no campaign tag),r,,Validation of Aeolus wind profiles using ground-based lidar and radiosonde observations at La Réunion Island and the Observatoire de Haute Provence
doi:10.1029/2021jd035728	LAPSE-RATE,doi:10.1029/2021jd035728,LAPSE-RATE,r,,"Vertical Transport of Sensible Heat and Meteoric Na by the Complete Temporal Spectrum of Gravity Waves in the MLT Above McMurdo (77.84°S, 166.67°E), Antarctica"
doi:10.3390/rs14102321	(no campaign tag),doi:10.3390/rs14102321,(no campaign tag),r,,"Wind and Turbulence Statistics in the Urban Boundary Layer over a Mountain–Valley System in Granada, Spain"
doi:10.1175/jtech-d-22-0037.1	PECAN,doi:10.1175/jtech-d-22-0037.1,PECAN,m,VORTEX-SE,A Comparison of Convective Storm Inflow Moisture Variability between the Great Plains and the Southeastern United States Using Multiplatform Field Campaign Observations
doi:10.3390/atmos14050767	(no campaign tag),doi:10.3390/atmos14050767,(no campaign tag),r,,A Framework to Predict Community Risk from Severe Weather Threats Using Probabilistic Hazard Information (PHI)
doi:10.5194/gmd-16-1779-2023	PECAN,doi:10.5194/gmd-16-1779-2023,PECAN,m,VORTEX-SE,A method for generating a quasi-linear convective system suitable for observing system simulation experiments
doi:10.21203/rs.3.rs-3194206/v1	(no campaign tag),doi:10.21203/rs.3.rs-3194206/v1,(no campaign tag),r,,"A model for low-frequency, anisotropic wind fluctuations and coherences in the marine atmosphere"
doi:10.1175/jtech-d-23-0056.1	(no campaign tag),doi:10.1175/jtech-d-23-0056.1,(no campaign tag),r,,Airborne Radar Doppler Spectrum Width as a Scale-Dependent Turbulence Metric
doi:10.3390/rs15225397	LAPSE-RATE,doi:10.3390/rs15225397,LAPSE-RATE,r,,"An Observation of Precipitation during Cooling with Ka-Band Cloud Radar in Wuhan, China"
doi:10.3390/atmos14101540	LAPSE-RATE,doi:10.3390/atmos14101540,LAPSE-RATE,r,,Analysis of the Causes and Wind Field Structure of a Dry Microburst in a Weak Weather Background
doi:10.1515/phys-2023-0154	TORUS,doi:10.1515/phys-2023-0154,TORUS,r,,Application of low-altitude wind shear recognition algorithm and laser wind radar in aviation meteorological services
doi:10.5194/amt-16-433-2023	LAPSE-RATE,doi:10.5194/amt-16-433-2023,LAPSE-RATE,m,(no campaign tag),Atmospheric boundary layer height from ground-based remote sensing: a review of capabilities and limitations
doi:10.5194/acp-23-3453-2023	(no campaign tag),doi:10.5194/acp-23-3453-2023,(no campaign tag),r,,Boundary layer moisture variability at the Atmospheric Radiation Measurement (ARM) Eastern North Atlantic observatory during marine conditions
doi:10.1029/2023jd038918	(no campaign tag),doi:10.1029/2023jd038918,(no campaign tag),r,,Classification of Turbulent Mixing Driven Sources in Marine Atmospheric Boundary Layer With Use of Shipborne Coherent Doppler Lidar Observations
doi:10.22541/essoar.167397432.26750100/v1	LAPSE-RATE,doi:10.22541/essoar.167397432.26750100/v1,LAPSE-RATE,m,(no campaign tag),Co-located wind and temperature observations at mid-latitudes during mesospheric inversion layer events
doi:10.3390/rs15143655	(no campaign tag),doi:10.3390/rs15143655,(no campaign tag),r,,Comparison of Spring Wind Gusts in the Eastern Part of the Tibetan Plateau and along the Coast: The Role of Turbulence
doi:10.1175/waf-d-22-0227.1	(no campaign tag),doi:10.1175/waf-d-22-0227.1,(no campaign tag),r,,Composite Mesoscale Environmental Conditions Influencing Tornado Frequencies in Landfalling Tropical Cyclones
doi:10.1029/2022gl102683	LAPSE-RATE,doi:10.1029/2022gl102683,LAPSE-RATE,r,,Co‐Located Wind and Temperature Observations at Mid‐Latitudes During Mesospheric Inversion Layer Events
doi:10.1049/rpg2.12903	(no campaign tag),doi:10.1049/rpg2.12903,(no campaign tag),r,,DC protection coordination for multi‐terminal HB‐MMC‐based HVDC grids
doi:10.5194/wes-8-677-2023	(no campaign tag),doi:10.5194/wes-8-677-2023,(no campaign tag),r,,Dependence of turbulence estimations on nacelle lidar scanning strategies
doi:10.5194/amt-16-4115-2023	(no campaign tag),doi:10.5194/amt-16-4115-2023,(no campaign tag),r,,Detection and analysis of Lhù'ààn Mân' (Kluane Lake) dust plumes using passive and active ground-based remote sensing supported by physical surface measurements
doi:10.1175/waf-d-23-0010.1	PECAN,doi:10.1175/waf-d-23-0010.1,PECAN,r,,Diagnosing Factors Leading to an Incorrect Supercell Thunderstorm Forecast
doi:10.1175/jamc-d-22-0128.1	PECAN,doi:10.1175/jamc-d-22-0128.1,PECAN,m,LAFE,Doppler Lidar Measurements of Wind Variability and LLJ Properties in Central Oklahoma during the August 2017 Land–Atmosphere Feedback Experiment
doi:10.1038/s41598-023-30346-z	(no campaign tag),doi:10.1038/s41598-023-30346-z,(no campaign tag),r,,Dust flow analysis by low coherence Doppler lidar
doi:10.1364/ao.504567	(no campaign tag),doi:10.1364/ao.504567,(no campaign tag),r,,Energy-scaling of a diode-pumped Alexandrite laser and prototype development for a compact general-purpose Doppler lidar
doi:10.1063/5.0172559	(no campaign tag),doi:10.1063/5.0172559,(no campaign tag),r,,Ensemble flow reconstruction in the atmospheric boundary layer from spatially limited measurements through latent diffusion models
doi:10.3390/atmos14091382	LAPSE-RATE,doi:10.3390/atmos14091382,LAPSE-RATE,r,,Evaluation of an Automatic Meteorological Drone Based on a 6-Month Measurement Campaign
doi:10.20944/preprints202307.2043.v1	(no campaign tag),doi:10.20944/preprints202307.2043.v1,(no campaign tag),r,,Evaluation of an Automatic Meteorological Drone Based on a 6-Months Measurement Campaign
doi:10.3390/atmos14060972	(no campaign tag),doi:10.3390/atmos14060972,(no campaign tag),r,,"Examining the Effectiveness of Doppler Lidar-Based Observation Nudging in WRF Simulation for Wind Field: A Case Study over Osaka, Japan"
doi:10.3390/en16166003	(no campaign tag),doi:10.3390/en16166003,(no campaign tag),r,,Experimental Study on the Influence of Incoming Flow on Wind Turbine Power and Wake Based on Wavelet Analysis
doi:10.3390/atmos15010020	(no campaign tag),doi:10.3390/atmos15010020,(no campaign tag),r,,Explainable Boosting Machine: A Contemporary Glass-Box Strategy for the Assessment of Wind Shear Severity in the Runway Vicinity Based on the Doppler Light Detection and Ranging Data
doi:10.5194/amt-16-4215-2023	(no campaign tag),doi:10.5194/amt-16-4215-2023,(no campaign tag),r,,Extended validation of Aeolus winds with wind-profiling radars in Antarctica and Arctic Sweden
doi:10.1175/bams-d-21-0330.1	(no campaign tag),doi:10.1175/bams-d-21-0330.1,(no campaign tag),r,,FESSTVaL: The Field Experiment on Submesoscale Spatio-Temporal Variability in Lindenberg
doi:10.5194/wes-8-1893-2023	(no campaign tag),doi:10.5194/wes-8-1893-2023,(no campaign tag),r,,Feedforward pitch control for a 15 MW wind turbine using a spinner-mounted single-beam lidar
doi:10.5194/amt-16-1017-2023	(no campaign tag),doi:10.5194/amt-16-1017-2023,(no campaign tag),r,,First assessment of Aeolus Standard Correct Algorithm particle backscatter coefficient retrievals in the eastern Mediterranean
doi:10.1007/s12665-023-11050-7	LAPSE-RATE,doi:10.1007/s12665-023-11050-7,LAPSE-RATE,r,,First implementation of a new cross-disciplinary observation strategy for heavy precipitation events from formation to flooding
doi:10.5194/egusphere-2023-1924	(no campaign tag),doi:10.5194/egusphere-2023-1924,(no campaign tag),r,,First measurements of 3-Dimensional winds up to 25 km based on Aerosol backscatter using a compact Doppler lidar with multiple fields of view
doi:10.3390/en16093906	(no campaign tag),doi:10.3390/en16093906,(no campaign tag),r,,From Hydrometeor Size Distribution Measurements to Projections of Wind Turbine Blade Leading-Edge Erosion
doi:10.1109/tiv.2023.3323648	(no campaign tag),doi:10.1109/tiv.2023.3323648,(no campaign tag),r,,GLIO: Tightly-Coupled GNSS/LiDAR/IMU Integration for Continuous and Drift-Free State Estimation of Intelligent Vehicles in Urban Areas
doi:10.1175/bams-d-23-0066.1	LAPSE-RATE,doi:10.1175/bams-d-23-0066.1,LAPSE-RATE,r,,Grand-Scale Atmospheric Imaging Apparatus (GAIA) and Wind Lidar Multiscale Measurements in the Atmospheric Surface Layer
doi:10.5194/amt-16-845-2023	(no campaign tag),doi:10.5194/amt-16-845-2023,(no campaign tag),r,,High-resolution 3D winds derived from a modified WISSDOM synthesis scheme using multiple Doppler lidars and observations
doi:10.1017/jfm.2022.1080	(no campaign tag),doi:10.1017/jfm.2022.1080,(no campaign tag),r,,Identification of the energy contributions associated with wall-attached eddies and very-large-scale motions in the near-neutral atmospheric surface layer through wind LiDAR measurements
doi:10.1029/2023jd038542	PECAN,doi:10.1029/2023jd038542,PECAN,r,,"Impact of Assimilating C‐Band Phased‐Array Radar Data With EnKF on the Forecast of Convection Initiation: A Case Study in Beijing, China"
doi:10.1002/qj.4541	(no campaign tag),doi:10.1002/qj.4541,(no campaign tag),r,,Impact of assimilating Aeolus observations in the global model ICON: A global statistical overview
doi:10.1117/12.2680406	(no campaign tag),doi:10.1117/12.2680406,(no campaign tag),r,,Improvement of the system efficiency of low coherence Doppler lidar
doi:10.1111/risa.14215	PERiLS,doi:10.1111/risa.14215,PERiLS,r,,Interpretable ensemble imbalance learning strategies for the risk assessment of severe‐low‐level wind shear based on LiDAR and PIREPs
doi:10.1175/mwr-d-22-0228.1	(no campaign tag),doi:10.1175/mwr-d-22-0228.1,(no campaign tag),r,,Investigating the Relationship between Polarimetric Radar Signatures of Hydrometeor Size Sorting and Tornadic Potential in Simulated Supercells
doi:10.1175/jamc-d-22-0206.1	(no campaign tag),doi:10.1175/jamc-d-22-0206.1,(no campaign tag),r,,Investigation of Hydrostatic Imbalance with Field Observations
doi:10.5194/wcd-4-249-2023	(no campaign tag),doi:10.5194/wcd-4-249-2023,(no campaign tag),r,,Investigation of links between dynamical scenarios and particularly high impact of Aeolus on numerical weather prediction (NWP) forecasts
doi:10.1029/2023jd038809	(no campaign tag),doi:10.1029/2023jd038809,(no campaign tag),r,,Isolating and Investigating Updrafts Induced by Wildland Fires Using an Airborne Doppler Lidar During FIREX‐AQ
doi:10.5194/acp-23-7033-2023	LAPSE-RATE,doi:10.5194/acp-23-7033-2023,LAPSE-RATE,r,,Large-eddy simulation of a two-layer boundary-layer cloud system from the Arctic Ocean 2018 expedition
doi:10.1016/j.jweia.2023.105491	(no campaign tag),doi:10.1016/j.jweia.2023.105491,(no campaign tag),r,,Lidar measurements of wake around a bridge deck
doi:10.3389/fenvs.2022.1082623	PECAN,doi:10.3389/fenvs.2022.1082623,PECAN,m,(no campaign tag),Low-level jets and their implications on air pollution: A review
doi:10.1109/jmw.2023.3283395	PECAN,doi:10.1109/jmw.2023.3283395,PECAN,r,,Making Waves: Microwaves in Climate Change
doi:10.5194/acp-23-183-2023	(no campaign tag),doi:10.5194/acp-23-183-2023,(no campaign tag),r,,"Measurement report: Atmospheric new particle formation at a peri-urban site in Lille, northern France"
doi:10.1175/mwr-d-23-0069.1	LAPSE-RATE,doi:10.1175/mwr-d-23-0069.1,LAPSE-RATE,r,,Measurements and Model Improvement: Insight into NWP Model Error Using Doppler Lidar and Other WFIP2 Measurement Systems
doi:10.1175/mwr-d-22-0324.1	PECAN,doi:10.1175/mwr-d-22-0324.1,PECAN,r,,Meteorological Research Enabled by Rapid-Scan Radar Technology
doi:10.1007/s10546-023-00790-5	LAPSE-RATE,doi:10.1007/s10546-023-00790-5,LAPSE-RATE,r,,Midday Boundary-Layer Collapse in the Altiplano Desert: The Combined Effect of Advection and Subsidence
doi:10.5194/wes-8-515-2023	LAPSE-RATE,doi:10.5194/wes-8-515-2023,LAPSE-RATE,r,,Multi-point in situ measurements of turbulent flow in a wind turbine wake and inflow with a fleet of uncrewed aerial systems
doi:10.1002/we.2827	LAPSE-RATE,doi:10.1002/we.2827,LAPSE-RATE,r,,"New insights on wind turbine wakes from large‐eddy simulation: Wake contraction, dual nature, and temperature effects"
doi:10.54302/mausam.v74i4.3527	LAPSE-RATE,doi:10.54302/mausam.v74i4.3527,LAPSE-RATE,r,,Observation and numerical simulation of dust devils at the Hong Kong International Airport in sea breeze situation
doi:10.1029/2022gl102578	LAPSE-RATE,doi:10.1029/2022gl102578,LAPSE-RATE,r,,Observational Investigation of the Effect of Turbulence on Microphysics and Precipitation in Warm Marine Boundary Layer Clouds
doi:10.1029/2022jd037425	(no campaign tag),doi:10.1029/2022jd037425,(no campaign tag),r,,Observations of Offshore Internal Boundary Layers
doi:10.1039/d2ea00101b	LAPSE-RATE,doi:10.1039/d2ea00101b,LAPSE-RATE,r,,Observations of coastal dynamics during lake breeze at a shoreline impacted by high ozone
doi:10.5194/acp-23-2315-2023	CHEESEHEAD,doi:10.5194/acp-23-2315-2023,CHEESEHEAD,r,,Pandemic restrictions in 2020 highlight the significance of non-road NO <sub> <i>x</i> </sub> sources in central London
doi:10.1127/metz/2023/1122	(no campaign tag),doi:10.1127/metz/2023/1122,(no campaign tag),r,,Performance of large-eddy simulations for capturing low-level wind shear at the Hong Kong International Airport for a whole wind-shear (spring) season
doi:10.5194/amt-16-2263-2023	(no campaign tag),doi:10.5194/amt-16-2263-2023,(no campaign tag),r,,Pseudorandom modulation continuous-wave narrowband sodium temperature and wind lidar
doi:10.1002/we.2858	(no campaign tag),doi:10.1002/we.2858,(no campaign tag),r,,Real‐time rotor effective wind speed estimation based on actuator disc theory: Design and full‐scale experimental validation
doi:10.1029/2022rg000796	(no campaign tag),doi:10.1029/2022rg000796,(no campaign tag),r,,Reducing Aerosol Forcing Uncertainty by Combining Models With Satellite and Within‐The‐Atmosphere Observations: A Three‐Way Street
doi:10.3390/atmos14050901	(no campaign tag),doi:10.3390/atmos14050901,(no campaign tag),r,,"Remote Polar Boundary Layer Wind Profiling Using an All-Fiber Pulsed Coherent Doppler Lidar at Zhongshan Station, Antarctica"
doi:10.5194/egusphere-2023-1546	(no campaign tag),doi:10.5194/egusphere-2023-1546,(no campaign tag),r,,Rotary-wing drone-induced flow – comparison of simulations with lidar measurements
doi:10.1175/mwr-d-22-0188.1	PECAN,doi:10.1175/mwr-d-22-0188.1,PECAN,m,(no campaign tag),Simultaneous Assimilation of Planetary Boundary Layer Observations from Radar and All-Sky Satellite Observations to Improve Forecasts of Convection Initiation
doi:10.13164/re.2023.0391	(no campaign tag),doi:10.13164/re.2023.0391,(no campaign tag),r,,Software-Defined 1550-nm Full-Fiber Doppler Lidar for Contactless Vibration Measurement of High Voltage Power Equipment
doi:10.1103/physrevfluids.8.l022701	(no campaign tag),doi:10.1103/physrevfluids.8.l022701,(no campaign tag),r,,Sub-meter wind detection with pulsed coherent Doppler lidar
doi:10.5194/amt-2023-143-supplement	CHEESEHEAD,doi:10.5194/amt-2023-143-supplement,CHEESEHEAD,r,,"Supplementary material to ""Observing Low Altitude Features in Ozone Concentrations in a Shoreline Environment via Unmanned Aerial Systems"""
doi:10.5194/amt-16-6007-2023	(no campaign tag),doi:10.5194/amt-16-6007-2023,(no campaign tag),r,,Suppression of precipitation bias in wind velocities from continuous-wave Doppler lidars
doi:10.3390/atmos14091412	LAPSE-RATE,doi:10.3390/atmos14091412,LAPSE-RATE,r,,Surface Mesonet and Upper Air Analysis of the 21 August 2017 Total Solar Eclipse
doi:10.1038/s41597-023-02582-5	LAPSE-RATE,doi:10.1038/s41597-023-02582-5,LAPSE-RATE,r,,Tethered Balloon-Borne Turbulence Measurements in Winter and Spring during the MOSAiC Expedition
doi:10.1175/waf-d-23-0042.1	(no campaign tag),doi:10.1175/waf-d-23-0042.1,(no campaign tag),r,,The 2021 Hazardous Weather Testbed Experimental Warning Program Radar Convective Applications Experiment: A Forecaster Evaluation of the Tornado Probability Algorithm and the New Mesocyclone Detection Algorithm
doi:10.1007/s10546-023-00840-y	(no campaign tag),doi:10.1007/s10546-023-00840-y,(no campaign tag),r,,The Arctic Fjord Breeze: Characteristics of a Combined Sea Breeze and Valley Wind in a Svalbard Fjord Valley
doi:10.3390/rs15225336	(no campaign tag),doi:10.3390/rs15225336,(no campaign tag),r,,The Design and Performance Evaluation of a 1550 nm All-Fiber Dual-Polarization Coherent Doppler Lidar for Atmospheric Aerosol Measurements
doi:10.1029/2023gl102825	(no campaign tag),doi:10.1029/2023gl102825,(no campaign tag),r,,The Impact of Offshore‐Propagating Squall Lines on Coastal‐Mountain Flows
doi:10.3390/rs15225373	LAPSE-RATE,doi:10.3390/rs15225373,LAPSE-RATE,r,,"The Relationship between Land Surface Temperature and Air Temperature in the Douro Demarcated Region, Portugal"
doi:10.1029/2022jd036921	PECAN,doi:10.1029/2022jd036921,PECAN,r,,The Roles of Surface Convergence Line and Upper‐Level Forcing on Convection Initiation Ahead of a Gust Front: A Case Study
doi:10.3929/ethz-b-000683028	LAFE,doi:10.3929/ethz-b-000683028,LAFE,r,,The impact of decreasing horizontal grid spacing on the simulation of the mountain boundary layer in the hectometric range
doi:10.3390/atmos14020268	(no campaign tag),doi:10.3390/atmos14020268,(no campaign tag),r,,Time-Series Prediction of Intense Wind Shear Using Machine Learning Algorithms: A Case Study of Hong Kong International Airport
doi:10.1007/s00376-023-2298-0	(no campaign tag),doi:10.1007/s00376-023-2298-0,(no campaign tag),r,,Use of Targeted Orographic Smoothing in Very High Resolution Simulations of a Downslope Windstorm and Rotor in a Sub-tropical Highland Location
doi:10.5194/amt-16-3715-2023	(no campaign tag),doi:10.5194/amt-16-3715-2023,(no campaign tag),r,,Using optimal estimation to retrieve winds from velocity-azimuth display (VAD) scans by a Doppler lidar
doi:10.5194/acp-23-8453-2023	(no campaign tag),doi:10.5194/acp-23-8453-2023,(no campaign tag),r,,Validation activities of Aeolus wind products on the southeastern Iberian Peninsula
